"Timestamp","1. What field are you in?","2. Which sector are you working in","3. What is Your Sex ","4.    What is your level of experience?","5. Are you a Paid Up Member of The Economics Association of Zambia (EAZ)?","6. Have you applied for EAZ membership?","7. You have registered as a user on the EAZ website, what was the reason for your registration?","8. Are you willing to apply and pay for membership?","9. If you answered “No” to the question above, explain the reason why","10. What assistance would you require to complete the registration process.","11. What has prevented you from applying for EAZ membership?","12. Are you aware of the benefits and opportunities that EAZ membership offers? ","13. What is your interest on the website?","14. On a scale of 1 to 5, how would you rate your willingness to pay for EAZ membership, with 1 being ""Not willing at All"" and 5 being ""Very Willing""? (1-5)","15. What factors have prevented you from activating your EAZ membership?","16. What specific incentives or changes could encourage you to activate your membership?","17. Please select your membership category from the following options","18. Which of these methods of sponsorship apply to you","19. On a Scale of 1 to 5  with 1 being not willing at all and 5 very willing, Are you willing to continue paying for the membership fees required for your specific EAZ category?  ","20. Based on your Answer to Question 19 above, give a reason for your answer.","21. On a Scale of 1 to 5 with 1 being not willing at all and 5 very willing, Are you willing to pay the membership fees for yourself? ","22. Based on your Answer to the Question above, Give a reason for your answer","23. On a scale of 1 to 5, with 1 being ""Not involved at All"" and 5 being ""Highly Involved,"" how involved are you in EAZ activities within your category?","24. What benefits would you like to receive from EAZ that you are not getting?","25. How can EAZ improve communication and engagement with members in your specific category? ","26. What recommendations would you make regarding the improvement of EAZ’s membership structure and activities within the category? "
"2024/01/18 3:42:54 pm EET","Economics","Unemployed","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 3:45:03 pm EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 3:48:25 pm EET","Economics","Nil","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Membership validity period","","","","","","","","","",""
"2024/01/18 3:49:23 pm EET","Business Administration","NGO","Male","Above 10 Years","No","No","I had registered as a member way back and ended up not renewing my membership","No","I do not see the benefits","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","All of the above","","","","","","","","","","","","",""
"2024/01/18 3:50:29 pm EET","Economics and finance ","Nil","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Financial constraints","Membership validity period","","","","","","","","","",""
"2024/01/18 3:54:00 pm EET","Economics","Private Sector","Male","5-10 Years","No","No","I want to become a member","No","Too costly","reduction in the fees ","too expensive ","Yes","Information on economic trends","","","","","","","","","","","","",""
"2024/01/18 3:59:24 pm EET","Engineering","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 3:59:46 pm EET","Investments","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","2","I would like more benefits to be associated with membership","2","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Improved engagement with members through newsletters"
"2024/01/18 4:04:50 pm EET","Economics","Public Sector","Female","0-4 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","2","The price is too high for not so many benefits","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal",""
"2024/01/18 4:06:40 pm EET","Economics","Not working student","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","3","I don't see the benefits there's lack of transparency","2","We need more insight of the benefits,help conduct research and lessons to open the student members eyes just ","5","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","We need more industrial tours,more meetings to meet international economists and Business people,need more activities especially for student members"
"2024/01/18 4:27:39 pm EET","Economics related field","Private Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 4:27:42 pm EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","Benefit from meetings and articles, and general recognition of the economics profession.","5","Benefit from capacity building meetings and published articles ","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Hold membership workshops and seminars, and industrial tours "
"2024/01/18 4:35:56 pm EET","Economics","Not currently working ","Female","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","3","There are no events scheduled for networking. For students to tap into knowledge from other economists with more experience and expertise ","3","There are no events that allows junior economists to tap into the knowledge of senior economists. And opportunities for junior economists to intern in the specific fields ","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Skills training and graduate trainee programs;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal",""
"2024/01/18 4:49:28 pm EET","Economics","To","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 5:12:23 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","I value my membership ","4","I value my membership ","2","Board placements for senior membership;Collaborative research projects;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Improved website and member portal","An active institution "
"2024/01/18 5:32:34 pm EET","education","Public Sector","","5-10 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on training and employment","","","","","","","","","","","","",""
"2024/01/18 5:38:25 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 5:39:05 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 5:59:12 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Fees are too high for the perceived benefits;Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 6:03:01 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 6:12:51 pm EET","Economics","Private Sector","Female","0-4 Years","No","No","I want to become a member","No","Too costly","Information regarding membership fees and benefits","I am not clear on the application process and requirements","Yes","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/18 6:26:57 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Fees are too high for the perceived benefits","Membership validity period","","","","","","","","","",""
"2024/01/18 6:27:03 pm EET","","NGO","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 6:33:13 pm EET","Economics","","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","1","Fees are too high for the perceived benefits;I haven't benefited in any way since a became a member so I don't see how my money will be put to use","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 6:42:57 pm EET","Economics","Private Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","It helps me alot to learn economics","5","It enbles me get the knowledge and put economics in to practice ","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs","Personalized communication based on member interests","None"
"2024/01/18 7:33:02 pm EET","Economics","Unemployed ","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 7:39:17 pm EET","Economics","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Benefits of membership are inconspicuous. ","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 7:45:07 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","","Financial constraints","Membership validity period","","","","","","","","","",""
"2024/01/18 8:04:54 pm EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Reduce the amount to something affordable. We have other professional bodies requiring us to pay as well, and as such all the net income for at least two months will just be consumed on membership fees for these professional bodies. ","","","","","","","","","",""
"2024/01/18 8:51:28 pm EET","Economics","Private Sector","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 9:05:13 pm EET","Economics","Public Sector","Female","5-10 Years","Yes","","","","","","","","","","","","Associate","Paid for (Proceed to Q21)","","","3","","1","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships","Regular newsletters with updates",""
"2024/01/18 9:06:46 pm EET","Economics","Public Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Forms to fill in","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/18 9:07:22 pm EET","Economics related field","Public Sector","Male","Above 10 Years","No","No","I am interested in information related to economic development","","","","","","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/18 9:30:36 pm EET","Economics related field","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Associate","Paid for (Proceed to Q21)","","","4","I think belonging to the EAZ is beneficial for me ","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Regular newsletters with updates","I would like to see different activities designed for each membership category "
"2024/01/18 9:36:27 pm EET","Economics","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","To be professionally updated with Current affairs","5","To be professionally up to date","2","Economy research seminars and consultancies;Mentorship programs;Collaborative research projects;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Improved website and member portal","Hold regular seminars"
"2024/01/18 9:43:18 pm EET","Economics","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 9:44:00 pm EET","Economics","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/18 10:02:20 pm EET","Economics","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of adequate information on the payment system;Technical issues or difficulties during the registration process.","Create a flexible payment plan","","","","","","","","","",""
"2024/01/18 11:22:52 pm EET","Economics","Unemployed ","Male","0-4 Years","No","No","I want to become a member","No","I do not see the benefits","Information regarding membership fees and benefits","I am not clear on the application process and requirements","No","Information on training and employment","","","","","","","","","","","","",""
"2024/01/18 11:59:00 pm EET","Social science","Private Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of adequate information on the payment system;Lack of clear instructions on the activation process.","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 6:12:21 am EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","2","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 6:14:38 am EET","Economics","Student ","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","4","I get the most out of my membership ","4","The benefits of the association are worth paying for","4","Economy research seminars and consultancies;Mentorship programs;Skills training and graduate trainee programs;Industrial tours","Improved website and member portal","Student Representatives: Appoint student representatives to bridge communication between EAZ and student members, ensuring their voices are heard.
Develop initiatives like workshops, seminars, or career fairs to engage students and provide insights into the practical applications of economics."
"2024/01/19 6:27:36 am EET","Economics related field","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Personal financial difficulties ","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 6:38:14 am EET","Economics related field","Telecommunications ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 6:59:42 am EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 8:01:43 am EET","","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","5","Get more insights and opportunities to participate in the economic development of the country","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs","Regular newsletters with updates","Visit and sensitization all Economic students in universities on the work of the EAZ. Explaining the Prons and cons of the institute. "
"2024/01/19 8:04:51 am EET","Economics","Private Sector","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Registered yesterday and I’m making payment next week ","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 8:20:02 am EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 8:32:37 am EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","3","Even if i dont pay, it wont affect my practice in any way.","2","Board placements for senior membership;Mentorship programs;Collaborative research projects;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","They should be more active in the regulation of economics practice in the Country. Like EIZ, LAZ, ZICA members cant do certain things without been fully paid up."
"2024/01/19 9:07:57 am EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 10:01:38 am EET","Economics","Student ","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","As an Economics and Finance student, I'm interested in the activities of the Zambian Economy and how it performs in reference to other economies around the world. The economic and financial activities and policy implementations by decision makers is of utmost importance to me and EAZ offers a platform where such information is disseminated and engages with the general public through forums. In addition to the above, EAZ also brings me closer to like minded people and professionals in my fields of interest.","5","Similarly to question 19 & 20 as i stated, as an Economics and Finance student on a path to become a fully realized Economist, I'm interested in the activities of the Zambian Economy and how it performs in reference to other economies around the world. The economic and financial activities and policy implementations by decision makers is of utmost importance to me and EAZ offers a platform where such information is disseminated and engages with the general public through forums. In addition to the above, EAZ also brings me closer to like minded people and professionals in my fields of interest.","5","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","I'd recommend for EAZ to have unique and engaging programs specifically tailored to mentoring and nurturing student members in regards to their interests offered by EAZ and to offer internship programs for paid up student members to assimilate hands-on experience in the field of Economics and related fields as is the association's name ""Economics Association of Zambia"".
I'd also recommend EAZ to collaborate with students by encouraging establishment of Student Chapters within the Universities and conveying the stipulated benefits on the website to paid up student members of the University chapters."
"2024/01/19 10:01:55 am EET","Economics related field","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 10:03:18 am EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 10:08:09 am EET","Business Management","Parastatal","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 10:15:43 am EET","Economics","School","Female","0-4 Years","No","No","I want to become a member","No","Too costly","Information regarding membership fees and benefits","Costly ","No","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 10:16:32 am EET","Economics","Student","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 10:25:12 am EET","Economics related field","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 10:43:13 am EET","Economics","Still a student with aspirations to find myself where I'm comfortable ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","On a personal level, I just need to tighten the money allocated towards paying for this membership activation as financial stability is a challenge ","","","","","","","","","",""
"2024/01/19 10:45:22 am EET","Economics","Unemployed ","Female","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","Membership fees assist in the operations of the organization. ","5","Because through paying membership fees, I get to participate in the incentive programs provided by the association ","5","Mentorship programs;Conferences and workshops;Skills training and graduate trainee programs;Employment opportunities","Regular newsletters with updates",""
"2024/01/19 11:33:23 am EET","Economics","NGO","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","2","Financial constraints","Membership validity period","","","","","","","","","",""
"2024/01/19 11:38:03 am EET","Economics related field","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Associate","Paid for (Proceed to Q21)","","","3","my willingness to pay for my membership is based on what am able to derive  from EAZ and if EAZ is representing its members with integrity and proper economic advise to government ","3","Economy research seminars and consultancies;Conferences and workshops;Collaborative research projects","Improved website and member portal",""
"2024/01/19 11:38:47 am EET","Accounting and Finance ","Private Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 11:39:31 am EET","Audit","Public Sector","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","1","I am putting my memori","Im putting my membership with EAZ on halt for now","","","","","","","","","",""
"2024/01/19 11:47:18 am EET","Economics","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of adequate information on the payment system;Technical issues or difficulties during the registration process.","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 12:06:04 pm EET","Economics","Unemployed ","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 12:13:28 pm EET","Economics","PUBLIC INSTITUTION IN A POSTAL SECTOR","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 12:14:03 pm EET","Economics","Student","Male","0-4 Years","No","No","I am interested in information related to economic development","","","","","","Information related to papers and research work by EAZ","","","","","","","","","","","","",""
"2024/01/19 12:23:13 pm EET","Economics","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 12:25:26 pm EET","Economics","Still in university ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 12:33:23 pm EET","Economics related field","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Make it affordable even for those in the low income bracket","","","","","","","","","",""
"2024/01/19 12:35:21 pm EET","Economics","Public Sector","Male","5-10 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I am not clear on the application process and requirements","No","Information on economic trends","","","","","","","","","","","","",""
"2024/01/19 12:45:20 pm EET","Business administration in accounting and finance ","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","Because you organize meaningful conferences and workshops where I gain knowledge about the economic of our country Zambia and any current affairs not only that but also i establish my network with those who are already in the corporate world by doing that I’m bridging the gap between the academia and the industry.","","","5","Mentorship programs;Skills training and graduate trainee programs;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","There is need to improve on the website and member portal "
"2024/01/19 12:47:56 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","2","1. Inadequate resources to meet the costs personally. 2. Benefits of being member are far less and do not compare to the costs of the subscription","2","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests",""
"2024/01/19 12:51:45 pm EET","Economics related field","Private Sector","Male","Above 10 Years","No","No","I am interested in information related to economic development","","","","","","All of the above","","","","","","","","","","","","",""
"2024/01/19 12:56:06 pm EET","Development studies","Public Sector","Male","0-4 Years","No","No","I want to become a member","Yes","Too costly","Online application process","I am not clear on the application process and requirements","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/19 12:58:01 pm EET","Economics","Unemployed ","Male","0-4 Years","No","No","I want to become a member","No","Too costly","Assistance in accessing employment opportunities so that i can have an income, thus being able to afford the membership fee","Financial constraints ","Yes","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 1:12:27 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2024/01/19 1:31:50 pm EET","Economics","NGO","Male","0-4 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","5","YES","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Skills training and graduate trainee programs;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","NON"
"2024/01/19 1:35:59 pm EET","Economics and business administration","Self employed","Female","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","4","I need the network","5","Networking ","1","Board placements for senior membership;Economy research seminars and consultancies;Conferences and workshops;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Regular newsletters with updates","No recommendation at the moment"
"2024/01/19 1:41:41 pm EET","Economics","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","5","Due to the benefits of that comes with  the subscription which am yet to see. ","5","Because I believe through paying the membership fee I will have higher chances to learn and equip my career through other professionals that have been in the field for a long time.  ","1","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Let's the members see the benefits of the subscription and involve those not employed to enhance their chances of finding opportunities. "
"2024/01/19 2:09:59 pm EET","Economics","UNEMPLOYED","Male","0-4 Years","No","No","I want to become a member","No","Too costly","None","I find it not useful considering the fact that i have been unemployed/underemployed for almost  9 years after getting the qualification","Yes","Information on economic trends","","","","","","","","","","","","",""
"2024/01/19 2:11:05 pm EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 2:22:33 pm EET","Economics","Private Sector","Female","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 2:32:30 pm EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","3","Since it's self sponsorship sometimes money is hard to get","3","I'm willing it's only that have some financial challenges ","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","There should be annual conferences and sponsorship for those who can't afford "
"2024/01/19 2:34:10 pm EET","Economics","Private Sector","Male","0-4 Years","No","No","I want to become a member","Yes","Too costly","Online application process","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 2:36:23 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Lack of adequate information on the payment system","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 2:40:29 pm EET","Economics","Public Sector","Female","0-4 Years","No","No","I want to become a member","Yes","","","Lack of financial capabilities as at now ","Yes","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 2:41:47 pm EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Reduced subscription fees ","","","","","","","","","",""
"2024/01/19 2:49:54 pm EET","Banking","Self employed","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints;Lack of adequate information on the payment system;Technical issues or difficulties during the registration process.","You can do instalments ","","","","","","","","","",""
"2024/01/19 2:58:30 pm EET","Economics","Informal sector ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
